target	context	f_tc	f_t	f_c	pmi
avion	espace	1.00	1930.00	10.00	-0.437421
avion	volant	1.00	1930.00	11.00	-0.532731
avion	immeuble	4.00	1930.00	5.00	1.642020
avion	infirmier	1.00	1930.00	1.00	1.865164
avion	pratique	2.00	1930.00	9.00	0.361087
avion	traverser	3.00	1930.00	10.00	0.661191
avion	trainer	1.00	1930.00	2.00	1.172017
avion	site-web	1.00	1930.00	1.00	1.865164
avion	vivant	1.00	1930.00	6.00	0.073405
avion	proposer	1.00	1930.00	2.00	1.172017
avion	préférer	1.00	1930.00	3.00	0.766552
avion	algue	1.00	1930.00	1.00	1.865164
avion	an	11.00	1930.00	50.00	0.351036
avion	jeu	1.00	1930.00	8.00	-0.214278
avion	israëliens	1.00	1930.00	1.00	1.865164
avion	pendre	1.00	1930.00	3.00	0.766552
avion	obtenir	1.00	1930.00	11.00	-0.532731
avion	manta	1.00	1930.00	1.00	1.865164
avion	rouler	2.00	1930.00	14.00	-0.080746
avion	impôt	1.00	1930.00	1.00	1.865164
avion	obsolète	1.00	1930.00	1.00	1.865164
avion	casser	1.00	1930.00	1.00	1.865164
avion	fois	6.00	1930.00	32.00	0.191188
avion	dessus-de	1.00	1930.00	1.00	1.865164
avion	martien	1.00	1930.00	1.00	1.865164
avion	millier	2.00	1930.00	9.00	0.361087
avion	utiliser	5.00	1930.00	49.00	-0.417218
avion	force	2.00	1930.00	3.00	1.459699
avion	transition	2.00	1930.00	4.00	1.172017
avion	altitude	6.00	1930.00	6.00	1.865164
avion	complet	1.00	1930.00	1.00	1.865164
avion	amener	1.00	1930.00	7.00	-0.080746
avion	spatial	1.00	1930.00	4.00	0.478870
avion	mec	1.00	1930.00	1.00	1.865164
avion	gros	4.00	1930.00	19.00	0.307019
avion	mêler	1.00	1930.00	1.00	1.865164
avion	bleu	1.00	1930.00	6.00	0.073405
avion	embarquer	1.00	1930.00	2.00	1.172017
avion	nu	1.00	1930.00	2.00	1.172017
avion	GPS	1.00	1930.00	12.00	-0.619743
avion	village	1.00	1930.00	5.00	0.255726
avion	île	3.00	1930.00	5.00	1.354338
avion	ressembler	6.00	1930.00	28.00	0.324719
avion	compter	1.00	1930.00	5.00	0.255726
avion	sang	1.00	1930.00	1.00	1.865164
avion	plaque	1.00	1930.00	6.00	0.073405
avion	snowboard	1.00	1930.00	2.00	1.172017
avion	différent	1.00	1930.00	25.00	-1.353712
avion	étoile	1.00	1930.00	4.00	0.478870
avion	intelligent	1.00	1930.00	4.00	0.478870
avion	dessiner	7.00	1930.00	9.00	1.613850
avion	juste	2.00	1930.00	20.00	-0.437421
avion	côte	1.00	1930.00	3.00	0.766552
avion	représentation	1.00	1930.00	3.00	0.766552
avion	facile	1.00	1930.00	4.00	0.478870
avion	indemnité	1.00	1930.00	1.00	1.865164
avion	avoir	127.00	1930.00	749.00	0.090612
avion	différence	1.00	1930.00	4.00	0.478870
avion	possible	1.00	1930.00	5.00	0.255726
avion	Dieu	1.00	1930.00	4.00	0.478870
avion	effet	1.00	1930.00	5.00	0.255726
avion	conspiration	1.00	1930.00	2.00	1.172017
avion	embrasser	1.00	1930.00	3.00	0.766552
avion	a-t-il	1.00	1930.00	2.00	1.172017
avion	mort	3.00	1930.00	7.00	1.017866
avion	sport	1.00	1930.00	8.00	-0.214278
avion	excitant	2.00	1930.00	2.00	1.865164
avion	vouloir	11.00	1930.00	56.00	0.237708
avion	longue	2.00	1930.00	4.00	1.172017
avion	direction	3.00	1930.00	8.00	0.884335
avion	courant	1.00	1930.00	7.00	-0.080746
avion	est-ce	2.00	1930.00	8.00	0.478870
avion	général	3.00	1930.00	9.00	0.766552
avion	coûter	1.00	1930.00	5.00	0.255726
avion	cybercriminels	1.00	1930.00	1.00	1.865164
avion	pluie	1.00	1930.00	1.00	1.865164
avion	file	3.00	1930.00	4.00	1.577482
avion	transporte-t-on	1.00	1930.00	1.00	1.865164
avion	Chili	1.00	1930.00	1.00	1.865164
avion	terrain	2.00	1930.00	2.00	1.865164
avion	maison-travail	1.00	1930.00	2.00	1.172017
avion	entier	3.00	1930.00	15.00	0.255726
avion	jour	1.00	1930.00	27.00	-1.430673
avion	pleurer	1.00	1930.00	2.00	1.172017
avion	jour-là	1.00	1930.00	1.00	1.865164
avion	avant	2.00	1930.00	6.00	0.766552
avion	tournoyer	1.00	1930.00	1.00	1.865164
avion	symbole	2.00	1930.00	4.00	1.172017
avion	drone	1.00	1930.00	1.00	1.865164
avion	véhicule	4.00	1930.00	13.00	0.686509
avion	grand	6.00	1930.00	38.00	0.019337
avion	ok	1.00	1930.00	1.00	1.865164
avion	procédé	1.00	1930.00	1.00	1.865164
avion	campagne	2.00	1930.00	4.00	1.172017
avion	consommer	1.00	1930.00	4.00	0.478870
avion	parabolique	1.00	1930.00	1.00	1.865164
avion	université	1.00	1930.00	2.00	1.172017
avion	détourner	1.00	1930.00	1.00	1.865164
avion	calmer	1.00	1930.00	1.00	1.865164
avion	cariole	1.00	1930.00	1.00	1.865164
avion	jogging	1.00	1930.00	1.00	1.865164
avion	sentir	3.00	1930.00	12.00	0.478870
avion	stade	1.00	1930.00	2.00	1.172017
avion	séquence	1.00	1930.00	2.00	1.172017
avion	radiocommandés	1.00	1930.00	1.00	1.865164
avion	rejeter	1.00	1930.00	1.00	1.865164
avion	centre	3.00	1930.00	6.00	1.172017
avion	dormir	1.00	1930.00	3.00	0.766552
avion	encouragement	1.00	1930.00	1.00	1.865164
avion	visage	1.00	1930.00	3.00	0.766552
avion	comparer	1.00	1930.00	3.00	0.766552
avion	écraser	7.00	1930.00	15.00	1.103024
avion	décollage	3.00	1930.00	3.00	1.865164
avion	surmonter	1.00	1930.00	1.00	1.865164
avion	PD	1.00	1930.00	1.00	1.865164
avion	nouveau	3.00	1930.00	32.00	-0.501960
avion	falloir	1.00	1930.00	7.00	-0.080746
avion	profiler	1.00	1930.00	1.00	1.865164
avion	finir	2.00	1930.00	10.00	0.255726
avion	millième	1.00	1930.00	1.00	1.865164
avion	rêve	1.00	1930.00	4.00	0.478870
avion	lundi	1.00	1930.00	1.00	1.865164
avion	azimuth	1.00	1930.00	1.00	1.865164
avion	monter	8.00	1930.00	26.00	0.686509
avion	accident	2.00	1930.00	27.00	-0.737526
avion	ennemi	2.00	1930.00	3.00	1.459699
avion	production	3.00	1930.00	7.00	1.017866
avion	transport	1.00	1930.00	10.00	-0.437421
avion	billet	4.00	1930.00	5.00	1.642020
avion	produire	4.00	1930.00	11.00	0.853563
avion	mauvais	1.00	1930.00	2.00	1.172017
avion	embarquement	1.00	1930.00	1.00	1.865164
avion	lourd	1.00	1930.00	3.00	0.766552
avion	abattre	1.00	1930.00	2.00	1.172017
