target	id_target	context	id_context	f_tc	f_t	f_c	cond_prob	pmi	npmi	lmi	tscore	zscore	dice	chisquare	loglike	affinity	entropy_target	entropy_context
avion	0	vingtaine	1170	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	humain	155	3.00	1930.00	18.00	0.001554	0.073405	0.008810	0.220214	0.122586	0.127169	0.003080	0.019163	0.440427	0.084111	6.005527	1.599971
avion	0	employer	2200	1.00	1930.00	2.00	0.000518	1.172017	0.124280	1.172017	0.690258	1.240258	0.001035	1.820415	2.344034	0.250259	6.005527	0.693147
avion	0	simulateur	2201	2.00	1930.00	2.00	0.001036	1.865164	0.213472	3.730328	1.195193	3.037060	0.002070	10.915741	7.460656	0.500518	6.005527	0.000000
avion	0	construire	1176	8.00	1930.00	24.00	0.004145	0.766552	0.104279	6.132414	1.514305	2.221610	0.008188	5.851266	12.264828	0.168739	6.005527	1.184691
avion	0	opérationnel	1178	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	continent	2203	2.00	1930.00	4.00	0.001036	1.172017	0.134140	2.344034	0.976173	1.753989	0.002068	3.641415	4.688067	0.250518	6.005527	0.693147
avion	0	jeune	159	1.00	1930.00	6.00	0.000518	0.073405	0.007784	0.073405	0.070775	0.073421	0.001033	0.006382	0.146809	0.083592	6.005527	1.791759
avion	0	mois	163	3.00	1930.00	11.00	0.001554	0.565881	0.067918	1.697643	0.748489	0.993265	0.003091	1.168397	3.395286	0.137141	6.005527	1.120950
avion	0	ordinateur	1181	1.00	1930.00	9.00	0.000518	-0.332061	-0.035212	-0.332061	-0.393837	-0.333588	0.001031	0.131769	-0.664121	0.055815	6.005527	0.683739
avion	0	être	165	121.00	1930.00	822.00	0.062694	-0.050786	-0.010958	-6.145086	-0.573073	-0.558704	0.087936	0.395435	-12.290173	0.104948	6.005527	1.974474
avion	0	environnement	1183	3.00	1930.00	5.00	0.001554	1.354338	0.162550	4.063015	1.284977	2.529218	0.003101	7.572230	8.126030	0.300777	6.005527	0.673012
avion	0	exposer	1184	1.00	1930.00	3.00	0.000518	0.766552	0.081285	0.766552	0.535388	0.785458	0.001035	0.730175	1.533103	0.166926	6.005527	1.098612
avion	0	emporter	1171	2.00	1930.00	4.00	0.001036	1.172017	0.134140	2.344034	0.976173	1.753989	0.002068	3.641415	4.688067	0.250518	6.005527	1.039721
avion	0	vrai	169	1.00	1930.00	8.00	0.000518	-0.214278	-0.022722	-0.214278	-0.238966	-0.214688	0.001032	0.054572	-0.428555	0.062759	6.005527	0.900256
avion	0	musique	1185	1.00	1930.00	3.00	0.000518	0.766552	0.081285	0.766552	0.535388	0.785458	0.001035	0.730175	1.533103	0.166926	6.005527	1.098612
avion	0	fixer	171	1.00	1930.00	2.00	0.000518	1.172017	0.124280	1.172017	0.690258	1.240258	0.001035	1.820415	2.344034	0.250259	6.005527	0.693147
avion	0	communauté	172	2.00	1930.00	6.00	0.001036	0.766552	0.087733	1.533103	0.757152	1.110805	0.002066	1.460703	3.066207	0.167185	6.005527	1.011404
avion	0	caméra	1191	2.00	1930.00	3.00	0.001036	1.459699	0.167065	2.919398	1.085683	2.252541	0.002069	6.005189	5.838796	0.333851	6.005527	0.636514
avion	0	voir	84	13.00	1930.00	96.00	0.006736	-0.134235	-0.019552	-1.745053	-0.517978	-0.484354	0.012833	0.279744	-3.490105	0.071076	6.005527	1.847215
avion	0	efficacité	2215	2.00	1930.00	2.00	0.001036	1.865164	0.213472	3.730328	1.195193	3.037060	0.002070	10.915741	7.460656	0.500518	6.005527	0.000000
avion	0	travailler	166	1.00	1930.00	8.00	0.000518	-0.214278	-0.022722	-0.214278	-0.238966	-0.214688	0.001032	0.054572	-0.428555	0.062759	6.005527	1.732868
avion	0	classique	1195	1.00	1930.00	5.00	0.000518	0.255726	0.027117	0.255726	0.225646	0.256423	0.001034	0.077834	0.511452	0.100259	6.005527	1.332179
avion	0	allée	2221	2.00	1930.00	3.00	0.001036	1.459699	0.167065	2.919398	1.085683	2.252541	0.002069	6.005189	5.838796	0.333851	6.005527	0.636514
avion	0	janvier	1197	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	groupe	2220	1.00	1930.00	9.00	0.000518	-0.332061	-0.035212	-0.332061	-0.393837	-0.333588	0.001031	0.131769	-0.664121	0.055815	6.005527	1.427061
avion	0	sauter	1196	3.00	1930.00	11.00	0.001554	0.565881	0.067918	1.697643	0.748489	0.993265	0.003091	1.168397	3.395286	0.137141	6.005527	1.090060
avion	0	garde	2226	1.00	1930.00	4.00	0.000518	0.478870	0.050779	0.478870	0.380517	0.483458	0.001034	0.276652	0.957739	0.125259	6.005527	1.039721
avion	0	téléphone	183	2.00	1930.00	12.00	0.001036	0.073405	0.008401	0.146809	0.100091	0.103833	0.002060	0.012769	0.293618	0.083851	6.005527	1.234268
avion	0	tonnerre	184	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	bruyant	2228	1.00	1930.00	4.00	0.000518	0.478870	0.050779	0.478870	0.380517	0.483458	0.001034	0.276652	0.957739	0.125259	6.005527	0.562335
avion	0	impact	1203	1.00	1930.00	3.00	0.000518	0.766552	0.081285	0.766552	0.535388	0.785458	0.001035	0.730175	1.533103	0.166926	6.005527	1.098612
avion	0	long	1205	1.00	1930.00	3.00	0.000518	0.766552	0.081285	0.766552	0.535388	0.785458	0.001035	0.730175	1.533103	0.166926	6.005527	1.098612
avion	0	g.	188	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	manière	189	1.00	1930.00	10.00	0.000518	-0.437421	-0.046384	-0.437421	-0.548708	-0.440917	0.001031	0.230218	-0.874842	0.050259	6.005527	1.497866
avion	0	jouer	190	2.00	1930.00	12.00	0.001036	0.073405	0.008401	0.146809	0.100091	0.103833	0.002060	0.012769	0.293618	0.083851	6.005527	1.028184
avion	0	musée	1209	1.00	1930.00	2.00	0.000518	1.172017	0.124280	1.172017	0.690258	1.240258	0.001035	1.820415	2.344034	0.250259	6.005527	0.693147
avion	0	détendre	3123	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	grimper	3140	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	privé	1212	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	savoir	193	7.00	1930.00	46.00	0.003627	-0.017567	-0.002347	-0.122971	-0.046889	-0.046479	0.007085	0.002566	-0.245941	0.077900	6.005527	1.802624
avion	0	image	196	1.00	1930.00	10.00	0.000518	-0.437421	-0.046384	-0.437421	-0.548708	-0.440917	0.001031	0.230218	-0.874842	0.050259	6.005527	1.418484
avion	0	observer	1214	1.00	1930.00	8.00	0.000518	-0.214278	-0.022722	-0.214278	-0.238966	-0.214688	0.001032	0.054572	-0.428555	0.062759	6.005527	1.213008
avion	0	filmer	2241	1.00	1930.00	2.00	0.000518	1.172017	0.124280	1.172017	0.690258	1.240258	0.001035	1.820415	2.344034	0.250259	6.005527	0.693147
avion	0	dessin	199	1.00	1930.00	3.00	0.000518	0.766552	0.081285	0.766552	0.535388	0.785458	0.001035	0.730175	1.533103	0.166926	6.005527	1.098612
avion	0	côté	202	5.00	1930.00	17.00	0.002591	0.641389	0.082008	3.206943	1.058642	1.458898	0.005136	2.521853	6.413886	0.148354	6.005527	1.478752
avion	0	vacance	1221	2.00	1930.00	5.00	0.001036	0.948873	0.108600	1.897747	0.866663	1.392821	0.002067	2.296369	3.795493	0.200518	6.005527	0.673012
avion	0	fille	205	3.00	1930.00	9.00	0.001554	0.766552	0.092003	2.299655	0.927318	1.360453	0.003094	2.191582	4.599310	0.167444	6.005527	1.522955
avion	0	accrocher	1223	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	prendre	207	20.00	1930.00	66.00	0.010363	0.671242	0.104316	13.424831	2.186545	3.058558	0.020040	11.127982	26.849662	0.156696	6.005527	1.367672
avion	0	nombre	1226	1.00	1930.00	6.00	0.000518	0.073405	0.007784	0.073405	0.070775	0.073421	0.001033	0.006382	0.146809	0.083592	6.005527	0.867563
avion	0	monde	209	6.00	1930.00	64.00	0.003109	-0.501960	-0.065713	-3.011758	-1.596958	-1.242494	0.006018	1.836122	-6.023515	0.048429	6.005527	1.625736
avion	0	perpétrer	1228	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	${dollar}	211	1.00	1930.00	8.00	0.000518	-0.214278	-0.022722	-0.214278	-0.238966	-0.214688	0.001032	0.054572	-0.428555	0.062759	6.005527	0.376770
avion	0	rapide	2250	1.00	1930.00	6.00	0.000518	0.073405	0.007784	0.073405	0.070775	0.073421	0.001033	0.006382	0.146809	0.083592	6.005527	0.450561
avion	0	appareil	214	2.00	1930.00	10.00	0.001036	0.255726	0.029268	0.511452	0.319112	0.362638	0.002062	0.155730	1.022904	0.100518	6.005527	0.500402
avion	0	tout	2258	1.00	1930.00	2.00	0.000518	1.172017	0.124280	1.172017	0.690258	1.240258	0.001035	1.820415	2.344034	0.250259	6.005527	0.693147
avion	0	fin	1224	1.00	1930.00	15.00	0.000518	-0.842886	-0.089379	-0.842886	-1.323062	-0.868060	0.001028	0.892688	-1.685772	0.033592	6.005527	1.171060
avion	0	dire	217	12.00	1930.00	99.00	0.006218	-0.245049	-0.035282	-2.940590	-0.961926	-0.851001	0.011828	0.863775	-5.881181	0.063715	6.005527	1.903504
avion	0	Porsche	3149	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	apprendre	216	2.00	1930.00	11.00	0.001036	0.160416	0.018360	0.320832	0.209601	0.227106	0.002061	0.061082	0.641664	0.091427	6.005527	1.641735
avion	0	système	220	2.00	1930.00	11.00	0.001036	0.160416	0.018360	0.320832	0.209601	0.227106	0.002061	0.061082	0.641664	0.091427	6.005527	1.033562
avion	0	battre	221	3.00	1930.00	8.00	0.001554	0.884335	0.106139	2.653004	1.016733	1.582114	0.003096	2.963681	5.306009	0.188277	6.005527	1.494175
avion	0	émission	1239	2.00	1930.00	6.00	0.001036	0.766552	0.087733	1.533103	0.757152	1.110805	0.002066	1.460703	3.066207	0.167185	6.005527	0.636514
avion	0	penser	224	6.00	1930.00	29.00	0.003109	0.289628	0.037916	1.737766	0.615943	0.711922	0.006126	0.601110	3.475532	0.105003	6.005527	1.782528
avion	0	séduisant	225	1.00	1930.00	2.00	0.000518	1.172017	0.124280	1.172017	0.690258	1.240258	0.001035	1.820415	2.344034	0.250259	6.005527	0.693147
avion	0	créer	226	2.00	1930.00	21.00	0.001036	-0.486211	-0.055648	-0.972422	-0.885501	-0.694400	0.002050	0.571516	-1.944845	0.048137	6.005527	1.856270
avion	0	raie	2270	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	couleur	228	1.00	1930.00	7.00	0.000518	-0.080746	-0.008562	-0.080746	-0.084096	-0.080768	0.001033	0.007723	-0.161492	0.071688	6.005527	1.153742
avion	0	parking	229	1.00	1930.00	9.00	0.000518	-0.332061	-0.035212	-0.332061	-0.393837	-0.333588	0.001031	0.131769	-0.664121	0.055815	6.005527	0.348832
avion	0	imaginer	227	2.00	1930.00	5.00	0.001036	0.948873	0.108600	1.897747	0.866663	1.392821	0.002067	2.296369	3.795493	0.200518	6.005527	0.673012
avion	0	son	1234	1.00	1930.00	7.00	0.000518	-0.080746	-0.008562	-0.080746	-0.084096	-0.080768	0.001033	0.007723	-0.161492	0.071688	6.005527	1.747868
avion	0	mètre	233	2.00	1930.00	6.00	0.001036	0.766552	0.087733	1.533103	0.757152	1.110805	0.002066	1.460703	3.066207	0.167185	6.005527	1.011404
avion	0	explosion	2278	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	industrie	1253	2.00	1930.00	7.00	0.001036	0.612401	0.070090	1.224802	0.647642	0.879663	0.002065	0.916123	2.449604	0.143375	6.005527	0.598270
avion	0	couverture	1254	1.00	1930.00	2.00	0.000518	1.172017	0.124280	1.172017	0.690258	1.240258	0.001035	1.820415	2.344034	0.250259	6.005527	0.693147
avion	0	importer	234	5.00	1930.00	26.00	0.002591	0.216505	0.027683	1.082527	0.435299	0.485067	0.005112	0.278989	2.165054	0.097449	6.005527	1.611909
avion	0	chauffage	238	1.00	1930.00	5.00	0.000518	0.255726	0.027117	0.255726	0.225646	0.256423	0.001034	0.077834	0.511452	0.100259	6.005527	0.500402
avion	0	instant	239	1.00	1930.00	3.00	0.000518	0.766552	0.081285	0.766552	0.535388	0.785458	0.001035	0.730175	1.533103	0.166926	6.005527	1.098612
avion	0	web	240	1.00	1930.00	2.00	0.000518	1.172017	0.124280	1.172017	0.690258	1.240258	0.001035	1.820415	2.344034	0.250259	6.005527	0.693147
avion	0	missile	1259	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	installer	2286	1.00	1930.00	5.00	0.000518	0.255726	0.027117	0.255726	0.225646	0.256423	0.001034	0.077834	0.511452	0.100259	6.005527	0.500402
avion	0	sol	1233	5.00	1930.00	9.00	0.002591	1.277377	0.163327	6.386887	1.612725	3.054494	0.005157	11.047633	12.773773	0.279073	6.005527	1.149060
avion	0	science	244	1.00	1930.00	3.00	0.000518	0.766552	0.081285	0.766552	0.535388	0.785458	0.001035	0.730175	1.533103	0.166926	6.005527	1.098612
avion	0	charger	245	1.00	1930.00	6.00	0.000518	0.073405	0.007784	0.073405	0.070775	0.073421	0.001033	0.006382	0.146809	0.083592	6.005527	1.242453
