avion	aimer	3.00	1930.00	11.00	0.565881
avion	air	5.00	1930.00	17.00	0.641389
avion	ajouter	1.00	1930.00	6.00	0.073405
avion	aller	20.00	1930.00	120.00	0.073405
avion	améliorer	1.00	1930.00	3.00	0.766552
avion	amener	1.00	1930.00	7.00	-0.080746
avion	américain	2.00	1930.00	10.00	0.255726
avion	ami	2.00	1930.00	12.00	0.073405
avion	amoureux	1.00	1930.00	3.00	0.766552
avion	an	11.00	1930.00	50.00	0.351036
avion	anneau	1.00	1930.00	3.00	0.766552
avion	année	6.00	1930.00	26.00	0.398827
avion	appareil	2.00	1930.00	10.00	0.255726
avion	apporter	1.00	1930.00	3.00	0.766552
avion	apprendre	2.00	1930.00	11.00	0.160416
avion	argent	1.00	1930.00	5.00	0.255726
avion	arrêter	2.00	1930.00	19.00	-0.386128
avion	arrière	1.00	1930.00	8.00	-0.214278
avion	arriver	5.00	1930.00	21.00	0.430079
avion	attaquer	1.00	1930.00	4.00	0.478870
avion	attendre	1.00	1930.00	13.00	-0.699785
avion	aujourd'	1.00	1930.00	12.00	-0.619743
avion	autonome	2.00	1930.00	12.00	0.073405
avion	autoroute	2.00	1930.00	6.00	0.766552
avion	autre	8.00	1930.00	66.00	-0.245049
avion	avant	2.00	1930.00	6.00	0.766552
avion	avérer	1.00	1930.00	5.00	0.255726
avion	avoir	127.00	1930.00	749.00	0.090612
avion	ballon	1.00	1930.00	3.00	0.766552
avion	base	1.00	1930.00	4.00	0.478870
avion	battre	3.00	1930.00	8.00	0.884335
avion	beau	2.00	1930.00	12.00	0.073405
avion	blanc	2.00	1930.00	12.00	0.073405
avion	blesser	1.00	1930.00	4.00	0.478870
avion	bleu	1.00	1930.00	6.00	0.073405
avion	bon	2.00	1930.00	24.00	-0.619743
avion	bout	1.00	1930.00	8.00	-0.214278
avion	bruit	1.00	1930.00	10.00	-0.437421
avion	bruyant	1.00	1930.00	4.00	0.478870
avion	camion	2.00	1930.00	12.00	0.073405
avion	capable	1.00	1930.00	10.00	-0.437421
avion	carbone	1.00	1930.00	4.00	0.478870
avion	carte	1.00	1930.00	4.00	0.478870
avion	cas	1.00	1930.00	6.00	0.073405
avion	causer	1.00	1930.00	3.00	0.766552
avion	centaine	1.00	1930.00	6.00	0.073405
avion	central	1.00	1930.00	5.00	0.255726
avion	chameau	1.00	1930.00	5.00	0.255726
avion	changer	1.00	1930.00	12.00	-0.619743
avion	charger	1.00	1930.00	6.00	0.073405
avion	chauffage	1.00	1930.00	5.00	0.255726
avion	chaussure	2.00	1930.00	5.00	0.948873
avion	chef	1.00	1930.00	4.00	0.478870
avion	chercher	2.00	1930.00	6.00	0.766552
avion	cheveu	1.00	1930.00	5.00	0.255726
avion	chose	13.00	1930.00	60.00	0.335769
avion	classique	1.00	1930.00	5.00	0.255726
avion	colibri	1.00	1930.00	3.00	0.766552
avion	commencer	5.00	1930.00	33.00	-0.021906
avion	communauté	2.00	1930.00	6.00	0.766552
avion	compagnie	1.00	1930.00	7.00	-0.080746
avion	comparer	1.00	1930.00	3.00	0.766552
avion	compter	1.00	1930.00	5.00	0.255726
avion	conception	2.00	1930.00	5.00	0.948873
avion	concevoir	4.00	1930.00	15.00	0.543408
avion	connaître	2.00	1930.00	11.00	0.160416
avion	connecter	2.00	1930.00	9.00	0.361087
avion	consommer	1.00	1930.00	4.00	0.478870
avion	construire	8.00	1930.00	24.00	0.766552
avion	contenir	1.00	1930.00	4.00	0.478870
avion	continuer	1.00	1930.00	4.00	0.478870
avion	corps	1.00	1930.00	10.00	-0.437421
avion	côte	1.00	1930.00	3.00	0.766552
avion	côté	5.00	1930.00	17.00	0.641389
avion	couleur	1.00	1930.00	7.00	-0.080746
avion	courant	1.00	1930.00	7.00	-0.080746
avion	coûter	1.00	1930.00	5.00	0.255726
avion	créer	2.00	1930.00	21.00	-0.486211
avion	croire	2.00	1930.00	8.00	0.478870
avion	début	1.00	1930.00	11.00	-0.532731
avion	déchirer	1.00	1930.00	3.00	0.766552
avion	découvrir	1.00	1930.00	9.00	-0.332061
avion	demander	4.00	1930.00	15.00	0.543408
avion	dense	1.00	1930.00	3.00	0.766552
avion	dernier	7.00	1930.00	23.00	0.675580
avion	descendre	1.00	1930.00	6.00	0.073405
avion	design	1.00	1930.00	3.00	0.766552
avion	dessin	1.00	1930.00	3.00	0.766552
avion	détenir	1.00	1930.00	3.00	0.766552
avion	devenir	3.00	1930.00	24.00	-0.214278
avion	devoir	8.00	1930.00	58.00	-0.115837
avion	Dieu	1.00	1930.00	4.00	0.478870
avion	différence	1.00	1930.00	4.00	0.478870
avion	dire	12.00	1930.00	99.00	-0.245049
avion	direction	3.00	1930.00	8.00	0.884335
avion	diriger	1.00	1930.00	6.00	0.073405
avion	disponible	1.00	1930.00	7.00	-0.080746
avion	${dollar}	1.00	1930.00	8.00	-0.214278
avion	donnée	1.00	1930.00	3.00	0.766552
avion	donner	2.00	1930.00	23.00	-0.577183
avion	dormir	1.00	1930.00	3.00	0.766552
avion	dos	1.00	1930.00	4.00	0.478870
